流水號,擷取日期,發布日期,分類,優先級,地區,來源名稱,原文標題,中文標題,繁中摘要,原文摘要,原文網址,圖片網址,引用格式,資料狀態
"2026-09-03-001","2026-09-03","Wed, 02 Sep 2026 11:44:13 GMT","品牌新品","normal","全球","autopunditz.com","Simple Wave Electric Scooter Launched at ₹1.10 Lakh – Offers Up to 243 Km Range and 70-Litre Storage - autopunditz.com","","","Simple Wave Electric Scooter Launched at ₹1.10 Lakh – Offers Up to 243 Km Range and 70-Litre Storage &nbsp;&nbsp; autopunditz.com","https://news.google.com/rss/articles/CBMikwFBVV95cUxNWjRPMGUtR01DVFpLMjdOaEcxZnd1N094clVaYTB6YWZaY3VfSGFyX01zaUl4VEZaSTVLNWU5bUo0ODllc19fOE9ncGg4MVpqWFN4dFFXRzZXYzVwSGpxN3pXbnlzeGZEQlFrS3NOZG5hN1AwVnhCYnJhcy1WamRUOWg0QVdid1l1bVNfcjR2d1JmSm8?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","autopunditz.com｜Wed, 02 Sep 2026 11:44:13 GMT｜Simple Wave Electric Scooter Launched at ₹1.10 Lakh – Offers Up to 243 Km Range and 70-Litre Storage - autopunditz.com｜https://news.google.com/rss/articles/CBMikwFBVV95cUxNWjRPMGUtR01DVFpLMjdOaEcxZnd1N094clVaYTB6YWZaY3VfSGFyX01zaUl4VEZaSTVLNWU5bUo0ODllc19fOE9ncGg4MVpqWFN4dFFXRzZXYzVwSGpxN3pXbnlzeGZEQlFrS3NOZG5hN1AwVnhCYnJhcy1WamRUOWg0QVdid1l1bVNfcjR2d1JmSm8?oc=5｜擷取日 2026-09-03","公開來源每日更新"
"2026-09-03-002","2026-09-03","Mon, 31 Aug 2026 11:20:14 GMT","品牌新品","normal","全球","IndiaIPO","Ather Energy shares rally 4% after launch of Konarc electric scooter at Rs 99,999. Buy, sell or hold the stock? - IndiaIPO","","","Ather Energy shares rally 4% after launch of Konarc electric scooter at Rs 99,999. Buy, sell or hold the stock? &nbsp;&nbsp; IndiaIPO","https://news.google.com/rss/articles/CBMi2gFBVV95cUxPYUVfaEVaOGtzZXlJYWRXSHVnVUp0UUhMV2lQY2V5eVl4cHNaSEVQay1lakJzYndValFSODdIMDN1OEtibklCclExOHAxa21aeDZJMjBDem92MkJwOEI5ZHhIWHpmazZzb1oyWEtRdEk1ajlFcS1QVjFPY0lZSzJub1pnU1pUXzdHZVdXeHY0TnRWM1N5bEI3Q0tUSDBYeUFTN1h3WGVOc1YtaFpEZ2g4WmVJVC1lREhKWW9vRGJ0eXNSSnFhVmh0R1llZVp1LUNJTkdjTHN3Uzg3UQ?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","IndiaIPO｜Mon, 31 Aug 2026 11:20:14 GMT｜Ather Energy shares rally 4% after launch of Konarc electric scooter at Rs 99,999. Buy, sell or hold the stock? - IndiaIPO｜https://news.google.com/rss/articles/CBMi2gFBVV95cUxPYUVfaEVaOGtzZXlJYWRXSHVnVUp0UUhMV2lQY2V5eVl4cHNaSEVQay1lakJzYndValFSODdIMDN1OEtibklCclExOHAxa21aeDZJMjBDem92MkJwOEI5ZHhIWHpmazZzb1oyWEtRdEk1ajlFcS1QVjFPY0lZSzJub1pnU1pUXzdHZVdXeHY0TnRWM1N5bEI3Q0tUSDBYeUFTN1h3WGVOc1YtaFpEZ2g4WmVJVC1lREhKWW9vRGJ0eXNSSnFhVmh0R1llZVp1LUNJTkdjTHN3Uzg3UQ?oc=5｜擷取日 2026-09-03","公開來源每日更新"
"2026-09-03-003","2026-09-03","Mon, 31 Aug 2026 08:01:58 GMT","品牌新品","normal","全球","TradingView","Ather Energy stock hits new high post-Konarc electric scooter launch, rises 4%; brokerages bullish - TradingView","","","Ather Energy stock hits new high post-Konarc electric scooter launch, rises 4%; brokerages bullish &nbsp;&nbsp; TradingView","https://news.google.com/rss/articles/CBMi7wFBVV95cUxOWXpYLWlhVmc3NUJjM0lkbllFQ1hnSlNEX0JyOVU2SnZMc29seDRTR2hVaW9iaVBpdkdSVG1ZRENWYnN5RmR5cjk4Z3FjRk1aQ3dJeWFJOGJmdFBLY0tZcUFsOVNqYlJaOEpGUm9xb1hWSW5XdFpWUEJLTXRqUjVhVjJPbUk3OUQ5djZZRV82dlpzMHdvZy1lY0lRb3FZOVkybURHRTZNZmVpNnVzU1pVd0hvS1Y0OS1jVkE3aGZ0WXMzQVZkNG16eXJJbEhYQTlZbkVNck1zWm9DNWdOREhVYWp1bkdrYnMzdlRqcHBKaw?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","TradingView｜Mon, 31 Aug 2026 08:01:58 GMT｜Ather Energy stock hits new high post-Konarc electric scooter launch, rises 4%; brokerages bullish - TradingView｜https://news.google.com/rss/articles/CBMi7wFBVV95cUxOWXpYLWlhVmc3NUJjM0lkbllFQ1hnSlNEX0JyOVU2SnZMc29seDRTR2hVaW9iaVBpdkdSVG1ZRENWYnN5RmR5cjk4Z3FjRk1aQ3dJeWFJOGJmdFBLY0tZcUFsOVNqYlJaOEpGUm9xb1hWSW5XdFpWUEJLTXRqUjVhVjJPbUk3OUQ5djZZRV82dlpzMHdvZy1lY0lRb3FZOVkybURHRTZNZmVpNnVzU1pVd0hvS1Y0OS1jVkE3aGZ0WXMzQVZkNG16eXJJbEhYQTlZbkVNck1zWm9DNWdOREhVYWp1bkdrYnMzdlRqcHBKaw?oc=5｜擷取日 2026-09-03","公開來源每日更新"
"2026-09-03-004","2026-09-03","Wed, 02 Sep 2026 15:00:00 GMT","法規更新","high","全球","Cleveland.com","E-bike rules change across Northeast Ohio. Here’s where riders can use the motor - Cleveland.com","","","E-bike rules change across Northeast Ohio. Here’s where riders can use the motor &nbsp;&nbsp; Cleveland.com","https://news.google.com/rss/articles/CBMiwAFBVV95cUxOWG55eV9HMERyN2pqalBERXE5R0Y4SXh1V0V3dnlEVzhQbHE0UVVNQXdCWXpGV2kyNnpsVHp4aGJYR092UEQtQXFzVEV1MjUzQ3h1dEtjZWhpWHRmWXpzVVB5dV9OSkFtdV94Z082dUxmSm1Scmh6RG0zZkpBTzFPRHZHWHUxSXlHSHBHc1oyekxfOVpVSF90eFZmRWlLMThTWWVlOEtjdTJWM09OaUVjaVFGbGhsSFJMcHpESUtQRUQ?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Cleveland.com｜Wed, 02 Sep 2026 15:00:00 GMT｜E-bike rules change across Northeast Ohio. Here’s where riders can use the motor - Cleveland.com｜https://news.google.com/rss/articles/CBMiwAFBVV95cUxOWG55eV9HMERyN2pqalBERXE5R0Y4SXh1V0V3dnlEVzhQbHE0UVVNQXdCWXpGV2kyNnpsVHp4aGJYR092UEQtQXFzVEV1MjUzQ3h1dEtjZWhpWHRmWXpzVVB5dV9OSkFtdV94Z082dUxmSm1Scmh6RG0zZkpBTzFPRHZHWHUxSXlHSHBHc1oyekxfOVpVSF90eFZmRWlLMThTWWVlOEtjdTJWM09OaUVjaVFGbGhsSFJMcHpESUtQRUQ?oc=5｜擷取日 2026-09-03","公開來源每日更新"
"2026-09-03-005","2026-09-03","Wed, 02 Sep 2026 08:35:22 GMT","法規更新","high","全球","Georgia Today","Georgia government plans legal regulation of e-scooter use by minors - Georgia Today","","","Georgia government plans legal regulation of e-scooter use by minors &nbsp;&nbsp; Georgia Today","https://news.google.com/rss/articles/CBMimAFBVV95cUxOYlVoenFMN29WNWY3azdqaVVJY0FpTVlGcmJhZndBU2tNZFJFcVRzU2J4UTJCaUhPV3F4TG5mNEdQR1kxM1laeGNfSElXSGE5OW84WWVwT0E4bzV0M2M1M3hTRTMzeTlxWUhvZGlZYVFFNkxGQjZZTGxWTm1kbUpneW5LTnFyZjd3bk42X3pydzRHLUJ4VEhtag?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Georgia Today｜Wed, 02 Sep 2026 08:35:22 GMT｜Georgia government plans legal regulation of e-scooter use by minors - Georgia Today｜https://news.google.com/rss/articles/CBMimAFBVV95cUxOYlVoenFMN29WNWY3azdqaVVJY0FpTVlGcmJhZndBU2tNZFJFcVRzU2J4UTJCaUhPV3F4TG5mNEdQR1kxM1laeGNfSElXSGE5OW84WWVwT0E4bzV0M2M1M3hTRTMzeTlxWUhvZGlZYVFFNkxGQjZZTGxWTm1kbUpneW5LTnFyZjd3bk42X3pydzRHLUJ4VEhtag?oc=5｜擷取日 2026-09-03","公開來源每日更新"
"2026-09-03-006","2026-09-03","Tue, 01 Sep 2026 20:53:46 GMT","法規更新","high","全球","Pennsylvania Senate Democrats","Senate Democratic Policy Committee Hearing on Micromobility Solutions & Safety - Pennsylvania Senate Democrats","","","Senate Democratic Policy Committee Hearing on Micromobility Solutions & Safety &nbsp;&nbsp; Pennsylvania Senate Democrats","https://news.google.com/rss/articles/CBMinwFBVV95cUxQZkVGbFg3djdyNlJOYjVsNkQ1NFV4ZlItQTNWcjFXRUFUaW42cklHWXdPYXFHZWJOTVk5ZlNJbVAwa1UxWUh4V3doc2FCVW5OV1V4czgwNzJWTF9sQUxKSWZIeERaNG93bWszaWFTaXlDaThYUVpjX2ZqYUxteEhoN1ZaUEZSU2dnZEhXM1VhM2pvRHZtUnk1clB6RGpaNUU?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Pennsylvania Senate Democrats｜Tue, 01 Sep 2026 20:53:46 GMT｜Senate Democratic Policy Committee Hearing on Micromobility Solutions & Safety - Pennsylvania Senate Democrats｜https://news.google.com/rss/articles/CBMinwFBVV95cUxQZkVGbFg3djdyNlJOYjVsNkQ1NFV4ZlItQTNWcjFXRUFUaW42cklHWXdPYXFHZWJOTVk5ZlNJbVAwa1UxWUh4V3doc2FCVW5OV1V4czgwNzJWTF9sQUxKSWZIeERaNG93bWszaWFTaXlDaThYUVpjX2ZqYUxteEhoN1ZaUEZSU2dnZEhXM1VhM2pvRHZtUnk1clB6RGpaNUU?oc=5｜擷取日 2026-09-03","公開來源每日更新"
"2026-09-03-007","2026-09-03","Tue, 01 Sep 2026 08:47:00 GMT","法規更新","high","全球","The State Journal-Register","New Illinois law establishes rules for electric bikes, scooters - The State Journal-Register","","","New Illinois law establishes rules for electric bikes, scooters &nbsp;&nbsp; The State Journal-Register","https://news.google.com/rss/articles/CBMiugFBVV95cUxOcVpFdEU4ZXpBR2lWdF92Mk05YUJWV1Z4OGs2Q09yTXpQYXR4OWFtY19kRHhBWnpDRUlwYjRDZGpqMVpzWGxxSmhEdHhjaFBUNUtTak1xSkpwZ09tek5ndVcyZHh3Q0RIZHZtZmRKNzBTdG95aTdoOVBJTTNTLTMtRkx3dmFkRVlqNFVjX1hKdHVxUmxmSjZaV25XeGtTNGNJUW8xUExNZ1JTOFZYalpzQjVGd0dmby13ZFE?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","The State Journal-Register｜Tue, 01 Sep 2026 08:47:00 GMT｜New Illinois law establishes rules for electric bikes, scooters - The State Journal-Register｜https://news.google.com/rss/articles/CBMiugFBVV95cUxOcVpFdEU4ZXpBR2lWdF92Mk05YUJWV1Z4OGs2Q09yTXpQYXR4OWFtY19kRHhBWnpDRUlwYjRDZGpqMVpzWGxxSmhEdHhjaFBUNUtTak1xSkpwZ09tek5ndVcyZHh3Q0RIZHZtZmRKNzBTdG95aTdoOVBJTTNTLTMtRkx3dmFkRVlqNFVjX1hKdHVxUmxmSjZaV25XeGtTNGNJUW8xUExNZ1JTOFZYalpzQjVGd0dmby13ZFE?oc=5｜擷取日 2026-09-03","公開來源每日更新"
"2026-09-03-008","2026-09-03","Fri, 28 Aug 2026 07:29:43 GMT","品牌新品","normal","全球","NDTV Profit","Ola Electric Share Price Jumps 6% After Launch Of New S1Z E-Scooter Range - NDTV Profit","","","Ola Electric Share Price Jumps 6% After Launch Of New S1Z E-Scooter Range &nbsp;&nbsp; NDTV Profit","https://news.google.com/rss/articles/CBMiywFBVV95cUxPWlFMb3p2ZWNvX0VZcUN0VkdRakszYjR5andFUTZWMUEwXzF0c1ppdFUxXzFka0ZVYkhIWVFCaVJLRHZkVzhkUjhFcGY1bmlsdlg2ZFJLeXV2a0VKdndQWjVJRVpnQ21XemtNWkt4b3dJOGN2cTYyZ1R3eFh3Z3RxTkRCcFFoZW1mWlNyXzV1dlY3ZS1OcjNnUDNLVjhOdjJPcmNRQkQ3c3o3ZGg0dVNnbWZibXQ0VDU1SVBNbm1qU0NNM1R3U09pMzh1UdIB0wFBVV95cUxQV2s2UldzRmx1Tm9QdGxsZXZDQWtySl9QLWR5Z3dZRHVqNTkwZ21FU0ZVeVRnN0tYOGs4b1NrTG9kYTJnLTRjWkU3NFB4Z0I2b1dEdkxHcHFPd2pZRU5UZTdjX1FDbDhxNGF3d2ZWSVdaQjh6VVhuNE5hWWVBanRsWUhROGpGOUI3T3I1akhjQnR2eFFrTXZYS2dyUkJRdW13bUpId2ZnRG5zX1lsQ3FGd0wtSWRJTVdOdWFuanZmQUdOdlh5cU5ycGwzbnpBTWl4Z1B3?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","NDTV Profit｜Fri, 28 Aug 2026 07:29:43 GMT｜Ola Electric Share Price Jumps 6% After Launch Of New S1Z E-Scooter Range - NDTV Profit｜https://news.google.com/rss/articles/CBMiywFBVV95cUxPWlFMb3p2ZWNvX0VZcUN0VkdRakszYjR5andFUTZWMUEwXzF0c1ppdFUxXzFka0ZVYkhIWVFCaVJLRHZkVzhkUjhFcGY1bmlsdlg2ZFJLeXV2a0VKdndQWjVJRVpnQ21XemtNWkt4b3dJOGN2cTYyZ1R3eFh3Z3RxTkRCcFFoZW1mWlNyXzV1dlY3ZS1OcjNnUDNLVjhOdjJPcmNRQkQ3c3o3ZGg0dVNnbWZibXQ0VDU1SVBNbm1qU0NNM1R3U09pMzh1UdIB0wFBVV95cUxQV2s2UldzRmx1Tm9QdGxsZXZDQWtySl9QLWR5Z3dZRHVqNTkwZ21FU0ZVeVRnN0tYOGs4b1NrTG9kYTJnLTRjWkU3NFB4Z0I2b1dEdkxHcHFPd2pZRU5UZTdjX1FDbDhxNGF3d2ZWSVdaQjh6VVhuNE5hWWVBanRsWUhROGpGOUI3T3I1akhjQnR2eFFrTXZYS2dyUkJRdW13bUpId2ZnRG5zX1lsQ3FGd0wtSWRJTVdOdWFuanZmQUdOdlh5cU5ycGwzbnpBTWl4Z1B3?oc=5｜擷取日 2026-09-03","公開來源每日更新"
"2026-09-03-009","2026-09-03","Mon, 31 Aug 2026 16:14:14 GMT","法規更新","high","全球","KVNU News Talk","Utah officials urge parents to follow new e-bike helmet law as school resumes - KVNU News Talk","","","Utah officials urge parents to follow new e-bike helmet law as school resumes &nbsp;&nbsp; KVNU News Talk","https://news.google.com/rss/articles/CBMioAFBVV95cUxQMEU0ZFhHel9SdTRVTExyeG1DQWNiVkxRUnZjaVltTXRld1hWVjZza2FBNWU3WjlrYzRDRVdQbGs1Qlk1SHNvc0NQNTNCOHpmdElZcWNjSFpKblVDWVdRM3FOV0hZV3dqR0NOV2VlMjZkRjRBM0pGX3NNRmVMR1dMNmlsbmpDMTdoeV9IVDI4UHhteEd6UGlPNk5ESGhGNjlR?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","KVNU News Talk｜Mon, 31 Aug 2026 16:14:14 GMT｜Utah officials urge parents to follow new e-bike helmet law as school resumes - KVNU News Talk｜https://news.google.com/rss/articles/CBMioAFBVV95cUxQMEU0ZFhHel9SdTRVTExyeG1DQWNiVkxRUnZjaVltTXRld1hWVjZza2FBNWU3WjlrYzRDRVdQbGs1Qlk1SHNvc0NQNTNCOHpmdElZcWNjSFpKblVDWVdRM3FOV0hZV3dqR0NOV2VlMjZkRjRBM0pGX3NNRmVMR1dMNmlsbmpDMTdoeV9IVDI4UHhteEd6UGlPNk5ESGhGNjlR?oc=5｜擷取日 2026-09-03","公開來源每日更新"
"2026-09-03-010","2026-09-03","Sun, 30 Aug 2026 01:55:04 GMT","法規更新","high","全球","OurQuadCities","Illinois governor signs law setting new age and licensing rules for e-bike riders - OurQuadCities","","","Illinois governor signs law setting new age and licensing rules for e-bike riders &nbsp;&nbsp; OurQuadCities","https://news.google.com/rss/articles/CBMixwFBVV95cUxOWEFyX1h5cEVZR2FmWUo1SU1ycm9JNDRlVnpwbzVIUGV5UVhQZXpCeHBORlRxbXJBQTgtZUVUQll1MXEzN0dDd1lrWjJwWUR2Z1E5a3JXN3c1ZHNuNFZFS3dOaUZoTWZJNVZTMUIyQVBTWUJiS2lpMEl0dC1PUjJ2X1JRYldOaTdmcm5UUFdJMVRqeFhpa0ZWTzlDc19BdlJMdmdrTUl0Szl5NXBTbDZ1bjU0eE5FRDJJd0JxZDRzcEtOZWVjZEVR0gHMAUFVX3lxTE1MMTRRUlN0bVdnN29fX2laaHZkMTY4cTI2SWJNS3BrSzVXVGd3NDBabEFfY2Q2UzBTVm5aRk0tMndOYV9Zd1pzanM4dm1TelRXdVdmOWVIT1BSSWJ1d2pHbW41UExnNURlQ0wwT0M0Y19nMUptU2YxenRFanNHSjR5NUU3VDkxeXFTRmxlSE94ZzAtRnlQbEtSdDgyTkt4dU9jVjN6NGlKZXhyR2RvM3M3VTB2LTg5c1lteFcxV1BVcUhzYWRmeXQ0clNQaw?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","OurQuadCities｜Sun, 30 Aug 2026 01:55:04 GMT｜Illinois governor signs law setting new age and licensing rules for e-bike riders - OurQuadCities｜https://news.google.com/rss/articles/CBMixwFBVV95cUxOWEFyX1h5cEVZR2FmWUo1SU1ycm9JNDRlVnpwbzVIUGV5UVhQZXpCeHBORlRxbXJBQTgtZUVUQll1MXEzN0dDd1lrWjJwWUR2Z1E5a3JXN3c1ZHNuNFZFS3dOaUZoTWZJNVZTMUIyQVBTWUJiS2lpMEl0dC1PUjJ2X1JRYldOaTdmcm5UUFdJMVRqeFhpa0ZWTzlDc19BdlJMdmdrTUl0Szl5NXBTbDZ1bjU0eE5FRDJJd0JxZDRzcEtOZWVjZEVR0gHMAUFVX3lxTE1MMTRRUlN0bVdnN29fX2laaHZkMTY4cTI2SWJNS3BrSzVXVGd3NDBabEFfY2Q2UzBTVm5aRk0tMndOYV9Zd1pzanM4dm1TelRXdVdmOWVIT1BSSWJ1d2pHbW41UExnNURlQ0wwT0M0Y19nMUptU2YxenRFanNHSjR5NUU3VDkxeXFTRmxlSE94ZzAtRnlQbEtSdDgyTkt4dU9jVjN6NGlKZXhyR2RvM3M3VTB2LTg5c1lteFcxV1BVcUhzYWRmeXQ0clNQaw?oc=5｜擷取日 2026-09-03","公開來源每日更新"
